"","age","TIV","rGMV","rWMV","rCSFV","sROI_bonecortex03","proxyBMD","sROI_bonethickness01","BMD_head","BMD_total","T_BMD_total","femur_BMD","sit_height","sROI_headthickness03","BMI","VAT","ASAT","fat_percent","waist","diastolic BP","systolic BP"
"sROI_bonecortex03",0.375229906123782,-0.106659453834365,-0.0778064278700769,-0.079407594453786,0.0823142161996847,1,-1,0.305598693088374,-0.748487771188999,-0.709348260953343,-0.711814100927254,-0.445201178501331,-0.0890718364977608,-0.29526751914419,-0.0955871785289385,-0.0469778115880683,-0.103487695624888,-0.0726768515641432,-0.0773645809083706,0.0298636948212748,0.102868041679039
"proxyBMD",-0.375229906123782,0.106659453834365,0.0778064278700769,0.079407594453786,-0.0823142161996847,-1,1,-0.305598693088374,0.748487771188999,0.709348260953343,0.711814100927254,0.445201178501331,0.0890718364977608,0.29526751914419,0.0955871785289385,0.0469778115880683,0.103487695624888,0.0726768515641432,0.0773645809083706,-0.0298636948212748,-0.102868041679039
"sROI_bonethickness01",0.117926480801345,0.168295129415018,0.14774758424459,0.0499155815929805,-0.142482541504059,0.305598693088374,-0.305598693088374,1,0.173323538412509,0.0140881073954608,0.0112799027439171,-0.0112912787910594,0.0521119190783934,-0.100157944669686,0.0341177023306778,0.00818283410605261,-0.0078564325570566,0.0269986854172267,0.0258282856729604,-0.010740879754941,0.149763204577517
"BMD_head",-0.203478949818721,0.167674514722247,0.00970490389398283,-0.0545733956102374,0.0333617063191101,-0.748487771188999,0.748487771188999,0.173323538412509,1,0.792691662865052,0.793792442220788,0.468467437112967,0.0945900328064852,0.297021911730277,0.157458670731661,0.0846859268086317,0.131174399845785,0.119205420442151,0.142868889935937,0.0136181443790173,0.0210346506291393
"BMD_total",-0.257862819225445,0.187217754350696,0.0798361632588711,-0.0218023350352857,-0.0324973662227355,-0.709348260953343,0.709348260953343,0.0140881073954608,0.792691662865052,1,0.995208932490776,0.738126365650563,0.147836098722394,0.423772262282789,0.323626391655483,0.232282167427758,0.295888036856087,0.263327112594959,0.291230796916841,0.0090721664061937,0.0260084577270133
"T_BMD_total",-0.257117837375449,0.186984075936304,0.083248646708484,-0.0169375836200372,-0.0383406339810553,-0.711814100927254,0.711814100927254,0.0112799027439171,0.793792442220788,0.995208932490776,1,0.73635337741351,0.14513935757441,0.415086260193324,0.316533890760991,0.228452935294612,0.287830271321085,0.257742844542339,0.286809830301967,0.00510199689216442,0.0231396102138844
"femur_BMD",-0.245581370522702,0.169162852651411,0.130285922031994,0.0258729158267393,-0.0915615089813293,-0.445201178501331,0.445201178501331,-0.0112912787910594,0.468467437112967,0.738126365650563,0.73635337741351,1,0.187726637303905,0.335281997315063,0.29766732432403,0.21339685870896,0.292334993339973,0.250569603334118,0.266359291796974,0.0664452672559522,0.0234798958414877
"sit_height",-0.263765796866449,0.161997466075563,0.158964672423325,0.102537740798666,-0.161221620683386,-0.0890718364977608,0.0890718364977608,0.0521119190783934,0.0945900328064852,0.147836098722394,0.14513935757441,0.187726637303905,1,0.0550040636583863,-0.0400428597218801,0.0455591388063883,0.080090704084138,0.0389867207966213,0.0284715436587214,-0.00595922585595492,-0.0827179323769475
"sROI_headthickness03",-0.0794853580020563,0.136806944361245,-0.145206438144942,-0.115916831529881,0.178499668954334,-0.29526751914419,0.29526751914419,-0.100157944669686,0.297021911730277,0.423772262282789,0.415086260193324,0.335281997315063,0.0550040636583863,1,0.622345959277283,0.651290491316826,0.64271663256733,0.603951873849162,0.669590295212069,0.185970688360605,0.170142407794692
"BMI",0.0175689742273784,0.0728762033382074,-0.0899081504659882,-0.0527909771600298,0.095599974408617,-0.0955871785289385,0.0955871785289385,0.0341177023306778,0.157458670731661,0.323626391655483,0.316533890760991,0.29766732432403,-0.0400428597218801,0.622345959277283,1,0.669219895993538,0.798188436417609,0.745019762281624,0.765757291368833,0.187127413224141,0.190110493666309
"VAT",0.0561694649430728,-0.0128063555327747,-0.105076954410671,-0.0954730940311844,0.135991177926692,-0.0469778115880683,0.0469778115880683,0.00818283410605261,0.0846859268086317,0.232282167427758,0.228452935294612,0.21339685870896,0.0455591388063883,0.651290491316826,0.669219895993538,1,0.808826582718169,0.806081899783747,0.82780384869768,0.255965493693135,0.209793084999506
"ASAT",-0.0360768150266036,0.0570734762939052,-0.0220802110404048,-0.0575816306501343,0.0576615279533454,-0.103487695624888,0.103487695624888,-0.0078564325570566,0.131174399845785,0.295888036856087,0.287830271321085,0.292334993339973,0.080090704084138,0.64271663256733,0.798188436417609,0.808826582718169,1,0.892806202480124,0.836650930811884,0.229870308179526,0.178465230687295
"fat_percent",0.000767663558316207,0.0764928122287695,-0.0210858138383641,-0.0596664183427776,0.0508421396365317,-0.0726768515641432,0.0726768515641432,0.0269986854172267,0.119205420442151,0.263327112594959,0.257742844542339,0.250569603334118,0.0389867207966213,0.603951873849162,0.745019762281624,0.806081899783747,0.892806202480124,1,0.822699788402005,0.237642090493057,0.153453199242217
"waist",0.0279702948506889,0.07657287919582,-0.126347179008939,-0.0916189891682456,0.14577921970345,-0.0773645809083706,0.0773645809083706,0.0258282856729604,0.142868889935937,0.291230796916841,0.286809830301967,0.266359291796974,0.0284715436587214,0.669590295212069,0.765757291368833,0.82780384869768,0.836650930811884,0.822699788402005,1,0.227906302742627,0.192025832403441
"diastolic BP",0.0400966794382583,0.0277573205309804,-0.114284305398409,-0.0389211665637159,0.109021602122568,0.0298636948212748,-0.0298636948212748,-0.010740879754941,0.0136181443790173,0.0090721664061937,0.00510199689216442,0.0664452672559522,-0.00595922585595492,0.185970688360605,0.187127413224141,0.255965493693135,0.229870308179526,0.237642090493057,0.227906302742627,1,0.615938030213854
"systolic BP",0.348103187224081,0.0525136019440165,-0.263450319804861,-0.140849535401095,0.259496443094238,0.102868041679039,-0.102868041679039,0.149763204577517,0.0210346506291393,0.0260084577270133,0.0231396102138844,0.0234798958414877,-0.0827179323769475,0.170142407794692,0.190110493666309,0.209793084999506,0.178465230687295,0.153453199242217,0.192025832403441,0.615938030213854,1
