"","v_31_0_0","age","tismri_TIV","tismri_volr01","tismri_volr02","tismri_volr03","classic_bone_med","main_sBMDH","sROI_bonecortex01","sROI_bonecortex02","sROI_bonecortex03","sROI_bonecortex04","sROI_bonecortex05","sROI_bonecortex06","sROI_bonecortex07","sROI_bonecortex08","sROI_bonecortex09","vROI_bonecortex03","sROI_bonethickness01","sROI_bonethickness02","sROI_bonethickness03","sROI_bonethickness04","sROI_bonethickness05","sROI_bonethickness06","sROI_bonethickness07","sROI_bonethickness08","sROI_bonethickness09","v_23226_2_0","v_23239_2_0","v_23300_2_0","v_51_2_0","v_50_2_0","sROI_headthickness01","sROI_headthickness02","sROI_headthickness03","sROI_headthickness04","sROI_headthickness05","sROI_headthickness06","sROI_headthickness07","sROI_headthickness08","sROI_headthickness09","tis_head","v_21001_2_0","v_22407_2_0","v_22408_2_0","v_23099_2_0","WHR","WHtR","v_874_2_0","v_894_2_0","v_914_2_0","v_20162_2_0","r_alcohol"
"tis_head",0.107040492540707,3.78759871904063e-05,0.322100616592008,6.25366778352778e-07,1.91893803862111e-14,1.21508366376215e-14,0.000105621099236687,0.0640350145125069,0.00287418235151228,0.0144799054835739,0.0640350145125069,0.00109861863830265,0.0150274468515624,6.94435768070321e-07,8.5981447216612e-05,0.00251162855999304,0.0762427767628365,2.83697034834867e-15,1.27188934816338e-05,0.000173817861233276,1.41554392481654e-07,0.00129735618007774,0.0126828444029008,0.0512970420604116,1.94402230075376e-08,0.0193966837167552,0.0689345863508354,0.891174842022096,0.00144816003965089,5.31641920179086e-05,0.887151904196932,0.75127564703719,1.05123263735059e-54,7.41584163837e-87,1.06242038282259e-41,6.43769225186752e-109,0.559524199782002,0.176371896016551,0.00121912565102891,1.35273882104842e-100,0.0826602766693873,0,1.70793779383798e-107,1.04857925927169e-85,6.49680544694849e-105,4.62015827025534e-61,4.21113797558053e-20,4.038782378822e-92,0.619187737144268,1,1,0.000124370756869033,1
"v_21001_2_0",1.85449710992225e-06,0.62933745219262,7.80228562305014e-08,5.85972567512455e-07,0.00486409595352956,2.26083809265691e-07,0.456771289919648,0.00106874956951416,0.0183114310602644,0.0324085862652815,0.00106874956951416,0.011382296557438,0.13187950978747,0.0870231677645495,0.959329015146996,0.0068208159264362,0.0140006191095448,1.00051268191458e-05,1.26927320974111e-06,0.000483752438363449,5.688036364496e-15,0.00123860703521809,0.0265208760392074,0.229159110919083,1.48717320975757e-05,0.00323101104389016,0.26329583023223,1.15028397689814e-05,2.43447043499666e-28,9.53572917890959e-21,0.00692766393345474,0.0389336691226203,6.250123444578e-70,7.86614933290803e-72,8.20518090128601e-78,1.69985674976475e-64,0.570288415697486,9.08510917651274e-07,0.784700939993319,1.72411091959738e-66,0.321870496579666,1.35121660904903e-110,0,1.33165157734531e-173,1.09521459717122e-163,2.76731632423606e-54,1.31248281379822e-53,1.5990498164494e-315,1,1,1,5.75894457509742e-06,1
"v_22407_2_0",3.73545021980443e-63,0.001823388225406,9.8297776536936e-38,5.40048315344033e-18,1.17872093142679e-05,2.85631056479286e-18,0.493404608258833,0.00071343128092623,0.0228845707010948,0.150099847591561,0.00071343128092623,0.00216802924810739,0.676496329498137,0.0269071860877198,0.00246151969980983,0.00102981853823243,0.133759629285282,1.34271098129455e-16,0.000608745770618985,0.359416919534044,8.63645740234066e-16,0.00985521882435505,0.907782988706831,0.239835839392705,3.38538639619644e-09,0.0122160169402293,0.0628614186043783,0.0218853448460124,2.26571494175798e-20,3.67794910406135e-09,3.33111296050277e-37,1.19203042108e-42,2.73783980677328e-83,5.11758179563624e-64,6.56450697955331e-121,8.7394627589322e-65,0.96242465618023,7.61064214245452e-11,0.576369239987056,1.33158379933121e-70,0.0528276569344095,8.41556387858496e-89,1.01497833639124e-176,0,4.15670588167326e-42,0.00922120446328524,1.284714534304e-170,3.58707992865494e-202,1,1,1,9.20840138435177e-07,1
"v_22408_2_0",1.79320873019763e-31,0.276956417792506,1.39707101081414e-10,0.0922520699840574,0.290073136449015,0.525204291067177,0.246069961216602,0.412927545102873,0.137597522077231,0.657633358654561,0.412927545102873,0.0186664421089387,0.631074324248252,0.0780216736531246,0.654235063314899,0.023355938834152,0.913085610738471,0.197348419682374,3.80514666003361e-05,1.44138909275313e-05,0.00180636037359035,0.0108266039449821,0.000112041481737283,0.019683237724894,0.018605059930134,0.0414164149792597,2.09029808129449e-05,0.261247563450781,6.99377323009062e-05,7.90940006202547e-11,7.20152649856347e-07,1.10970917066688e-08,3.56675691819857e-12,3.09371882117504e-32,2.54458248993657e-06,2.46816461987187e-26,0.621307503417283,0.195317407370881,0.0713676422725089,1.78686611065222e-22,0.923085226221196,5.14802333355665e-108,8.39244902046912e-167,3.4959679408522e-45,0,1.81348694847332e-258,1,1.77069213121113e-100,0.0308527230618805,1,1,0.0321657402754026,0.132957234712171
"v_23099_2_0",2.23291681283159e-139,0.552538367904809,2.02335188073183e-57,1.43245823846416e-08,0.970435610299626,3.04440707238771e-05,0.00289465163653147,8.46039097022202e-06,2.43503415798601e-06,0.0106951893198968,8.46039097022202e-06,4.82596485378895e-10,0.0134892245960783,0.00534159759951845,0.518215399251605,3.41131719927713e-09,0.00787302464942609,0.329572575805412,5.19380620743829e-05,3.0559433751348e-08,0.624098985248391,0.0447915066170451,3.06192344199485e-08,0.00177122227422716,0.870457851697783,0.189878906100231,8.36708016242244e-15,0.169429839864867,0.374766228723689,0.00010456638445714,1.67668635616018e-47,2.66421698202754e-60,0.448957405826043,8.9355753066433e-08,6.86951268198428e-07,0.00100579140275172,0.793121292418396,5.71078107524674e-05,0.0490848610260324,0.0318526497836426,0.0588944657755223,3.77155777163701e-64,2.28514973099592e-57,1.16136076363794e-05,1.34531672735409e-261,0,3.0794887301158e-10,3.40828996317726e-30,0.51662944159673,1,1,0.513774453593199,0.459493280734049
"WHR",1.09147262357642e-153,0.000734434198664566,5.15259627546935e-79,1.78717229916763e-24,0.000184112301924972,1.62428207800268e-21,0.960980266406187,1.00354529314903e-05,0.000830667480507581,0.0699125806845835,1.00354529314903e-05,2.83851210099814e-06,0.809446593268388,0.0874721187829266,0.000107253663853927,1.26539762898995e-06,0.121549171527196,6.94723591670425e-16,0.0211340800608414,0.491042157118061,3.17470826101975e-16,0.0240245158162326,0.12043044504176,0.90500296861769,1.28187143668825e-07,0.0183877424429307,5.94601788363114e-05,0.019970375199706,1.43172765312849e-12,0.00916175682297301,1.34514991879931e-48,8.84708855067657e-69,3.56266297461108e-61,9.12378494822928e-29,6.93149285542148e-112,4.15917392102718e-40,0.988581040615593,1.59490383738961e-10,0.689413230238843,9.94093722442802e-47,0.0137656481605533,3.74990024539673e-23,1.08559372522599e-56,9.80698117789312e-174,0.0146747885104692,3.07027789642652e-13,0,1.41200735580116e-142,1,1,1,0.0014663697089682,1
"WHtR",2.09734909415237e-15,0.00154070073647394,3.3919611222068e-11,3.16014372235067e-12,0.000154180853748186,8.18401491084274e-13,0.441602742754438,0.0314941617042362,0.317406746257973,0.517609964994398,0.0314941617042362,0.151038794881565,0.575496538287361,0.0019148013339765,0.0253428353194277,0.0949172405387178,0.548264643821925,3.97222739643554e-09,3.20104903302387e-05,0.0297001696643997,4.17626708316914e-14,0.00723521182927945,0.10635058886853,0.37925298727105,3.01177600265266e-06,0.00993272881300511,0.574296688868869,0.0138522191575422,7.93114188426175e-16,3.78617581587469e-09,0.00993816165961743,0.00994992666597304,1.06268679726178e-62,2.80667929410382e-50,9.6219675952386e-79,4.49357865728e-52,0.3874534534833,7.95831288960811e-07,0.358986384733717,3.98373762294101e-54,0.599069147839785,3.22844314853877e-95,1.17663709819676e-318,2.69705257793604e-205,1.40531121524692e-103,2.94325558132751e-33,1.09288495031049e-145,0,1,1,1,2.98614043819313e-07,1
"v_874_2_0",0.34447296740841,0.967932994715984,0.242359776638074,0.951970445100405,0.271190157498168,0.436665419533566,0.837854735445219,0.942743224360239,0.909397971435975,0.87871964185985,0.942743224360239,0.746912933344196,0.983084692044262,0.657918169034848,0.792004316358094,0.970922382977244,0.512459924286276,0.164406842475677,0.0670040507585091,0.149344876542612,0.179115994060517,0.133295582580022,0.715747495904272,0.140585793554046,0.932826555645904,0.0644117746856658,0.309056512503822,0.403930763159451,0.50381402371972,0.278793882457977,0.388174774431362,0.119499985906739,0.00252215169581529,0.00209233234752771,0.00575299941807743,0.000170476765706902,0.685816118568972,0.463581698601238,0.600904115615821,0.000427312263078647,0.878569077679021,0.000906570625394243,0.00163712328546993,0.00844331247639392,4.01205761532906e-05,0.000747654763526382,0.789787187383142,0.0164125866832917,0,1.45496838010526e-22,0.0571758042095793,1,1
"v_894_2_0",0.473041697166193,7.90838022510346e-07,0.0516647022987296,0.148168807598455,0.940951921226648,0.252887290514253,0.450035218997501,0.936062706644347,0.71676631282559,0.977771882915091,0.936062706644347,0.533207703236038,0.881348015589249,0.929355932374198,0.777457734174041,0.558807426584957,0.314019088544669,0.491975637031021,0.186912298740677,0.147691800462822,0.531486709942155,0.145101024828197,0.97812163226265,0.684246359238499,0.908422128880524,0.110552833010737,0.991898918897832,0.139312227932436,0.377652006751891,0.526506631251781,0.215396244750375,0.212881169299704,0.00128964275693539,0.011909651308482,0.000564869306983823,0.00127845978293298,0.527763820439159,0.412158279104839,0.526724978980835,0.00119889881199834,0.908460835941486,0.0280303344437916,0.0303403767689954,0.0457053497635783,0.204582481566648,0.582019483331203,0.684337006776918,0.10296491603189,1.2819104670531e-25,0,3.41903698416174e-09,1,1
"v_914_2_0",0.477573487785306,0.323292938292305,0.182030261517847,0.812695868127092,0.0590528501949458,0.27001306789871,0.544474211429359,0.744473438234968,0.667560488233375,0.612011786042255,0.744473438234968,0.514468742310621,0.855975590693438,0.751329057072596,0.318350396700249,0.668695687275042,0.896726641811853,0.34875126716341,0.5168457278769,0.899371961502606,0.218153605143024,0.650627956488622,0.452100978414808,0.850398712632523,0.73324377670108,0.54296143716442,0.406355153555803,0.590760740964645,0.111372951192344,0.16338497697176,0.474473324183676,0.984769315177846,0.565303457600759,0.185704154154277,0.527139355106799,0.300288520770114,0.0775544708890367,0.358576830275437,0.486850980229799,0.131319368807145,0.173133256575052,0.25928990813545,0.550667481595196,0.152103525884672,0.0358582387818822,0.036075043820335,0.493871319502232,0.160388863096982,7.60316545340151e-05,3.46758314823706e-12,0,1,1
"v_20162_2_0",0.188204809595721,0.0980873666452547,0.203115555045868,0.000468572192885502,0.00297767507211556,1.45588234933306e-05,0.0396221889577697,0.343655754710905,0.163441697607575,0.114613641294113,0.343655754710905,0.115686122571273,0.314943147367577,0.00993624646518727,0.00748090279899209,0.211204246725414,0.738150631757842,0.00115684316867028,0.121342790563017,0.579270219499836,0.012053075196914,0.250550017453422,0.562822917350008,0.330097345336248,0.0225106458119285,0.208381406630479,0.887168448399476,0.490211034328293,0.12797084546272,0.00766972849788449,0.601185193416234,0.212889928117308,0.00583393928858441,0.00164296967103404,0.00099462407727627,0.00145685364511327,0.717520017770845,0.269463990687031,0.603641655381313,0.00231247828200357,0.833082264407149,1.42627014758065e-07,6.25292570586039e-09,9.80660424318612e-10,4.18824743169305e-05,0.000742448632360113,1.77097790938188e-06,3.1499371710898e-10,0.283746045409143,0.377489274406904,0.427096149467934,0,0.747815003171424
"r_alcohol",0.000844560622079012,0.0027587263256238,6.78295014160042e-05,1.69136012697718e-08,0.011378261428271,9.98011707663658e-08,0.0940426983963125,0.13028545079724,0.0647519392448579,0.00520097541544675,0.13028545079724,0.161927003738398,0.149382930735684,0.132763626464383,0.000651668372571166,0.139961265220546,0.0338897315629055,0.00553596233520452,0.118404975880429,0.0444067533224431,0.731972414079505,0.164036450304495,0.967744555634347,0.755524843168833,0.0514573665602899,0.133027673364664,0.0771662430885344,0.12668607516915,0.873691611107153,0.681508676900891,0.00071104243810555,8.27861612402239e-06,0.697733979991982,0.0553154646581393,0.489650533414249,0.483153302719998,0.885186268189292,0.90830771853179,0.0629894862797468,0.643202750465736,0.253053838878418,0.997451000440443,0.0227034770789084,0.287092070592635,0.000182818935686703,0.000657358055413518,0.0254318277273878,0.322849933890377,0.547954881331831,0.439769407557015,0.850949334139097,0.00111116642373168,0
