"","age","tismri_TIV","tismri_volr01","tismri_volr02","tismri_volr03","classic_bone_med","main_sBMDH","sROI_bonecortex01","sROI_bonecortex02","sROI_bonecortex03","sROI_bonecortex04","sROI_bonecortex05","sROI_bonecortex06","sROI_bonecortex07","sROI_bonecortex08","sROI_bonecortex09","vROI_bonecortex03","sROI_bonethickness01","sROI_bonethickness02","sROI_bonethickness03","sROI_bonethickness04","sROI_bonethickness05","sROI_bonethickness06","sROI_bonethickness07","sROI_bonethickness08","sROI_bonethickness09","v_23226_2_0","v_23239_2_0","v_23300_2_0","v_51_2_0","v_50_2_0","sROI_headthickness01","sROI_headthickness02","sROI_headthickness03","sROI_headthickness04","sROI_headthickness05","sROI_headthickness06","sROI_headthickness07","sROI_headthickness08","sROI_headthickness09","tis_head","v_21001_2_0","v_22407_2_0","v_22408_2_0","v_23099_2_0","WHR","WHtR","v_874_2_0","v_894_2_0","v_914_2_0","v_20162_2_0","r_alcohol"
"sROI_bonethickness01",0.0948576215998165,2.84982560422523e-07,0.429087139436499,0.0406123464668397,0.634854997594771,6.12587215580933e-27,0.0121025537743385,0.00223028433277133,0.191334058749124,0.0121025537743385,0.205465739104533,8.6738226996188e-07,2.60987002466712e-16,2.84369824940473e-14,0.0533852401803319,2.35908727236151e-05,8.7757751018455e-16,0,2.51557012174828e-138,1.76497205180307e-141,1.10623582637036e-198,1.86686980116372e-34,4.04444816979676e-44,3.51255753552243e-17,6.20725177848722e-198,1.85913648964913e-35,2.39046031642153e-11,0.00250197773058525,1,1,1,0.238864035660667,1,0.00552354110711991,1,1,1,1,1,1,0.000742564086268155,0.00263982021027702,0.00837367756384368,0.00108873258198934,0.000869856117465729,0.0721133131938839,0.0138047189061762,1,1,1,1,1
"sROI_bonethickness02",0.365049881399747,0.00622554633002264,3.10722062410442e-05,0.928581410098473,0.00170858627355084,4.25687833511365e-17,0.1381442600841,0.118533061722511,0.728987231988616,0.1381442600841,0.839781802844696,0.00245901577921591,2.72351421927148e-10,4.41904752646734e-10,0.438056292028908,0.0124341529395445,2.73505638711289e-11,1.91735527572277e-141,0,3.09163044300521e-54,5.22532753930671e-116,1.44728906446118e-10,2.2871347040381e-19,5.68990510816768e-06,1.3265388986765e-109,2.95561712745468e-11,1.52608144412e-11,0.0153467798875551,1,1,1,1,1,1,1,1,1,1,1,1,0.289820415053558,1,1,1,1,1,1,1,1,1,1,1
"sROI_bonethickness03",0.0159042416072727,9.93282520103221e-09,0.0595944858604922,0.000311863140869321,0.000826352779463303,1.80903277416126e-12,0.44510696109515,0.167867251402808,0.773030673130194,0.44510696109515,0.835930980588386,0.000775145286410512,9.86198789111355e-12,2.37812142260867e-08,0.789914477076851,0.0148362361304148,1.04428515064021e-15,1.34422852384087e-144,2.52377995347364e-57,0,6.51371448501087e-90,3.55878950177236e-17,6.97589716322175e-34,4.94162467282269e-15,3.21056652816709e-87,6.76595641004864e-15,2.96684862117769e-18,8.11983421271954e-07,1,1,1,0.448566314365284,1,3.20981946969062e-07,0.276642995616712,1,1,1,0.255727371368469,1,7.98112834412338e-07,1.45341283627609e-10,2.08170616085e-07,1.44347105295155e-09,8.55178538228225e-09,5.79032185894219e-05,2.6271851242088e-07,1,1,1,1,1
"sROI_bonethickness04",0.898960844713556,1.96927504590731e-07,0.197923273597222,0.0259638807792148,0.861025855879681,8.92321595354106e-27,0.0012551980781273,2.98123042186305e-05,0.00461853882407579,0.0012551980781273,0.013260164013188,7.26400031868499e-07,7.96185520715788e-18,7.60733931648469e-16,0.000894548369271093,7.99029080515728e-06,2.74668970283558e-16,8.39329155060975e-202,4.02567607034415e-119,5.10479191615272e-93,0,4.00921490385564e-12,6.23376291869521e-24,2.53855072976583e-10,4.2433044999782e-247,3.75409527588622e-12,8.73138823283484e-10,0.687512178314103,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.622176033846687,1,1,1,1,1,1,1,1
"sROI_bonethickness05",0.00584109790684959,0.000173004092198797,0.418310624788627,0.0996924897904884,0.186872707269424,1.94765690875557e-12,0.027822424879148,0.0153761189869766,0.218009950376763,0.027822424879148,0.10316051907271,0.0639668438351179,5.37805134402066e-06,1.44418252383695e-05,0.0613322267294307,0.00118848763780597,0.00889238477462654,1.56354254703829e-37,1.31571733132835e-13,3.12448595414605e-20,3.60540908620111e-15,0,6.31661579298321e-08,1,7.04662250716133e-14,1.75866589632134e-32,1,1,1,1,1,8.03042774109921e-08,1,0.000165784556982152,1,2.08087896528833e-52,1,1,1,7.22705782771139e-09,0.326394110230849,0.735759792216065,1,1,0.516655570205217,1,1,1,1,1,1,1
"sROI_bonethickness06",0.000164519706932579,0.0119626525745766,0.0388973808069951,0.00223851653170195,0.00251094117081601,1.06189803612608e-05,0.0415364640698199,0.206916076928508,0.598158324662835,0.0415364640698199,0.495885708356342,0.0391331019918192,0.984201005139786,0.00175157635686434,0.275785542233496,0.0323712024426491,3.25636813811616e-05,3.34251914859236e-47,1.99227761675793e-22,5.85226272082362e-37,5.34628037623946e-27,5.9089015837074e-11,0,2.82267676317829e-49,1.34095276853034e-22,4.49338840883437e-06,0.00437554848070409,0.252443900358712,1,1,1,1,1,1,1,1,1,1,1,1,0.338918324696015,1,1,0.349411654266817,0.435280885616044,1,1,1,1,1,1,1
"sROI_bonethickness07",7.31463464925213e-07,0.665195570821461,3.97399822024433e-07,9.72110988647924e-09,9.71958436054241e-13,0.0091743966024933,0.802125953831985,0.835094500849693,0.465290893318701,0.802125953831985,0.673018852887243,0.797293908601102,0.7239691495179,0.309821888382105,0.818399455794551,0.994198903586912,4.61905841928485e-06,3.08119082063371e-20,5.43967983572436e-09,4.35769371501119e-18,2.31831116873592e-13,0.00175797341264388,2.31746860687873e-52,0,7.40285404083222e-10,1,0.0471097238174789,1,1,1,1,1,1,0.752261196496058,1,1,1,1,1,1,0.000215328528784271,0.0697564809367472,1,0.0165816553407742,0.203417717702962,1,0.505013650070256,1,1,1,1,1
"sROI_bonethickness08",0.406560916555494,3.1257376306534e-08,0.276797865558498,0.0384906690350516,0.817301285797126,3.84563959858902e-25,0.0100546060182967,0.000702414434368197,0.0568533625910629,0.0100546060182967,0.0646437055956781,3.24971945833269e-06,4.95320799592482e-16,5.67456950804531e-14,0.0158198862027143,2.98279865072586e-05,3.6534508970912e-15,4.71317523043828e-201,1.02356396502816e-112,2.51809139464086e-90,3.21219114305693e-250,6.24700576876005e-17,1.15699117215733e-25,6.78538408875547e-13,0,1.49803853195381e-12,1.65525455587491e-11,0.140142332708908,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.633220082701986,1,1,1,1,1,1,1,1
"sROI_bonethickness09",0.0109433801929861,0.0132365763906754,0.513173109987787,0.125305176483721,0.132358375212146,1.83020322108756e-15,0.0107986626186574,0.00303427765690513,0.151068496780301,0.0107986626186574,0.137811370379436,2.17404974528823e-09,6.55723495214284e-09,5.67864776575944e-06,0.0531039621240125,8.71639824666059e-05,0.00732275706060666,1.5518668527956e-38,2.67718942704228e-14,5.97171792590348e-18,3.372951730356e-15,1.47911345359238e-35,4.29167947357628e-09,0.0698662440271268,1.34232843365037e-15,0,1,1,1,1,0.106295869130767,1.13841190862686e-12,1,1.4740095476221e-06,1,2.03493516852793e-14,0.00408651816589544,0.126359478118738,1,3.45431389420057e-100,1,1,1,1,0.39940277526117,1,1,1,1,1,1,1
"v_23226_2_0",0.703551179186127,0.00134618929814419,0.342035788350993,0.842834861670502,0.343652089619671,2.24466174391658e-33,1.25977637252998e-66,1.41627538218058e-56,3.2124011824558e-37,1.25977637252998e-66,1.95932999766818e-48,1.19725808296976e-44,5.55104344328956e-22,9.13047946964939e-20,6.37280467960241e-48,1.79857715240448e-47,2.46174185854582e-15,2.1633125035489e-14,1.37857402359531e-14,2.5933991443861e-21,8.01044792003197e-13,0.860525703852484,4.41974594010515e-06,4.96938014952309e-05,1.49661352249087e-14,0.827064925924518,0,8.13057093397976e-60,2.05494686803078e-14,0.38512762545172,0.0698165956993849,1,1,1,0.0019983021909301,0.0396638495277478,1,1,0.00154095353440168,0.0757613366692717,1,1,1,1,1,1,1,1,1,1,1,1
