"","sex","age","sit_height","VAT","ASAT","fat_percent","BMI","BMD_head","BMD_total","T_BMD_total","femur_BMD","tismri_volr01","tismri_volr02","tismri_volr03","tismri_TIV","tis_bone","vROI_bonecortex03","sROI_bonecortex03","main_sBMDH","sROI_bonethickness01","sROI_bonethickness02","sROI_bonethickness03","sROI_bonethickness04","sROI_bonethickness05","sROI_bonethickness06","sROI_bonethickness07","sROI_bonethickness08","sROI_bonethickness09","tis_head","sROI_headthickness01","sROI_headthickness02","sROI_headthickness03","sROI_headthickness04","sROI_headthickness05","sROI_headthickness06","sROI_headthickness07","sROI_headthickness08","sROI_headthickness09","waist","walk","moderate_PA","vigorous_PA","smoking","r_alcohol"
"sROI_bonethickness08",0.317514304105132,0.027701136267793,0.00517667430790761,0.0122160169402293,0.0414164149792597,0.189878906100231,0.0261680052301565,1.58907558532393e-19,0.000499695481913832,0.000331826238034726,0.462178558141205,0.0419496603139588,0.112949545914395,0.313981000609804,2.55640342142822e-08,4.32754132373434e-36,6.20669040160358e-28,3.16786637417532e-08,3.16786637417532e-08,0,1.77637156808127e-203,1.00031152802032e-194,0,1.95731200707858e-41,1.09597334870693e-52,2.29129247592645e-22,0,1.9093230517335e-20,1,1,1,1,1,1,1,1,1,1,0.84092459649624,1,1,1,1,1
"sROI_bonethickness09",1.71588083341327e-15,0.00084009582280313,2.57583966022406e-11,0.0628614186043783,2.09029808129449e-05,8.36708016242244e-15,0.539680863514041,0.163384606848772,4.82258063528028e-06,0.0871633069255035,0.894142348694339,0.000187659219425098,0.0596266907004422,5.41803082445628e-05,0.000514652322554161,1.08377645150159e-07,0.00245662469108253,1.13309425988793e-09,1.13309425988793e-09,3.05290350588003e-59,1.7869120464586e-26,3.70294184775735e-18,9.75650169442795e-24,6.10773247462093e-63,1.99949335416952e-13,0.0443827085031631,2.43536103537437e-23,0,1,0.000309495583264945,1,1,0.02931266608847,4.94795852253427e-18,1,0.0694499787579244,0.0323645323264259,6.12784866395387e-156,1,1,1,1,1,1
"tis_head",0.107040492540707,3.78759871904063e-05,0.887151904196932,8.41556387858496e-89,5.14802333355665e-108,3.77155777163701e-64,2.05242328631604e-72,0.891174842022096,0.064532662316163,0.00144816003965089,5.31641920179086e-05,6.25366778352778e-07,1.91893803862111e-14,1.21508366376215e-14,0.322100616592008,0.0243994544849791,2.83697034834867e-15,0.0640350145125069,0.0640350145125069,1.27188934816338e-05,0.000173817861233276,1.41554392481654e-07,0.00129735618007774,0.0126828444029008,0.0512970420604116,1.94402230075376e-08,0.0193966837167552,0.0689345863508354,0,8.95650207022701e-52,6.58526737487256e-84,8.82871338125572e-39,5.79392302668077e-106,1,1,0.59005681509799,1.21070124483834e-97,1,5.51245455362535e-67,0.447845888944756,1,1,8.88566301942747e-05,1
"sROI_headthickness01",1.7666089887881e-42,0.79414236308951,5.73734014561348e-21,2.73783980677328e-83,3.56675691819857e-12,0.448957405826043,9.30498000672134e-57,1.08244547297194e-05,5.80367838017291e-46,1.32807202841745e-23,7.92456958961072e-11,1.00837785480735e-10,0.333471491544673,6.37402405816849e-08,7.25699515250917e-31,0.00110605010613039,0.069779747093729,3.20578624170867e-13,3.20578624170867e-13,0.00932930855137579,0.784259816506076,8.30734094300356e-06,0.765192630684056,0.00249261674179057,0.129353653984966,0.00037119039730901,0.811380837924561,5.04886758996647e-07,1.05123263735059e-54,0,4.36731437486545e-128,1.55247515350397e-272,2.56906849530445e-137,1.08260155999643e-40,7.3545968761711e-81,1.94700533212584e-31,3.9554744033636e-150,8.70982418911443e-28,1.00560576343097e-79,1,0.621607808842857,1,1,1
"sROI_headthickness02",7.77313386920109e-09,0.00299226772952928,3.3645573279067e-13,5.11758179563624e-64,3.09371882117504e-32,8.9355753066433e-08,3.23432588432856e-52,3.97903312643893e-07,4.7784001432591e-19,1.01850974807947e-15,3.28489873962496e-10,0.304631175594435,0.789321953195821,0.255681263944108,5.18074872887919e-08,5.02506533509496e-07,0.0973294484346046,1.4497047289578e-06,1.4497047289578e-06,0.195178416970269,0.124977535103125,0.000247198294315364,0.315470002556335,0.0130691948953712,0.266674675458504,0.222644482589031,0.635190166297138,0.0944907479764648,7.41584163837e-87,4.80981759346416e-131,0,3.64628632042358e-60,3.6732162879775e-183,1,4.08711177101031e-11,1.2379221015963e-13,9.40022595333454e-181,1,4.31764917567296e-58,0.970842209252859,1,1,0.780410593741167,1
"sROI_headthickness03",2.19157689383502e-101,0.352623226834888,7.48275386497154e-45,6.56450697955331e-121,2.54458248993657e-06,6.86951268198428e-07,6.29754344411608e-65,5.38743420890245e-11,3.10470599623482e-83,4.31197417251261e-33,4.46712057205042e-11,7.51161968041016e-23,0.0333928052519166,1.43492918505456e-17,2.3398911967105e-62,0.0514030209246945,9.85336479972774e-05,2.48085368229586e-16,2.48085368229586e-16,0.000881292552548007,0.622105155566162,2.94662540805272e-17,0.162601449762744,0.817365502484233,0.55437758065379,2.20553436136814e-07,0.0831643255321936,0.959490073777978,1.06242038282259e-41,1.65685715421982e-275,4.22023879678655e-63,0,7.92961699795339e-84,3.34349735228046e-06,2.20908850889864e-25,0.126978089154878,6.00718064027816e-94,0.071364065744746,1.8720763801265e-130,1,0.288092970140762,1,0.489355046019925,1
"sROI_headthickness04",1.6020904138993e-16,0.0750635639763846,1.464099981879e-17,8.7394627589322e-65,2.46816461987187e-26,0.00100579140275172,2.36901619789767e-48,2.55558213929645e-13,2.79446514232913e-32,2.07139393208455e-24,2.79977920426398e-13,1.49806563347026e-08,0.00050232411205576,1.93186042676234e-10,1.30554739757377e-15,2.53376387087423e-10,0.151067341578058,2.95293921270884e-16,2.95293921270884e-16,0.124232221245714,0.14885737397792,4.42555407235956e-07,0.108051139663343,0.0139367363855357,0.539394377197921,4.84475192899297e-05,0.324625356773958,5.29109496181769e-05,6.43769225186752e-109,2.8107970408145e-140,3.96247711755934e-186,8.93981623219097e-87,0,1,0.00147154618665372,1,0,0.77735906997316,2.02202078129278e-67,0.0909118954853802,0.617496075156631,1,0.696376042364145,1
"sROI_headthickness05",0.70038510214069,0.521723290327388,0.0156199066015439,0.96242465618023,0.621307503417283,0.793121292418396,0.554548271404331,4.46006027877695e-05,0.961898169096732,0.96243130223543,0.360924100533478,0.670534455042547,0.02255012066737,0.0863415950405136,0.963387508529589,0.739919087737262,0.00821929787831847,0.759944882535424,0.759944882535424,0.497762492459214,0.0716234325900796,0.000173451818634804,0.0126020952953151,1.29848009795159e-51,0.00357849896223835,0.0153845409013636,0.00561565333551813,6.40098127106633e-21,0.559524199782002,1.2980834052715e-43,0.527930546989607,5.07359234033453e-09,0.407582145518568,0,9.38872984342084e-24,2.60225779270652e-13,1,7.2004272181312e-53,1,1,1,1,1,1
"sROI_headthickness06",1.79529690994887e-17,0.0362893650387318,1.77882967458995e-05,7.61064214245452e-11,0.195317407370881,5.71078107524674e-05,1.12693422754339e-06,0.227606523007425,1.67719459187027e-09,0.00203410190317534,0.471638664848715,0.000220515537371549,0.316469197726516,0.00232459532403908,5.97358942463609e-12,0.194811699903152,0.60990855726944,0.00406026848604198,0.00406026848604198,0.677022012836533,0.0758535022441045,0.346999423787939,0.217262506225688,0.34920953718656,0.00914729253170431,0.245135451913018,0.502967826582126,0.0128723819472448,0.176371896016551,8.31027895612554e-84,5.6765441264032e-14,2.7544744499983e-28,2.46903722592906e-06,1.17948867379659e-26,0,9.50538072813833e-139,2.18807401387382e-05,2.88143112052032e-15,1.1115598482192e-05,1,1,1,1,1
"sROI_headthickness07",0.0341384760713924,0.837582733515279,0.65899635417501,0.576369239987056,0.0713676422725089,0.0490848610260324,0.57480981282314,0.416113875865937,0.24858526872665,0.601395062303851,0.762229808747084,0.0110267499192245,1.08201294454355e-08,5.72068727658338e-07,0.0246442954746962,0.328801791816266,0.0164881637867589,0.238183514305551,0.238183514305551,0.639078486944017,0.0568285209507134,0.14880080104193,0.0359403455591123,0.508337828777686,0.637637517886819,0.00114561412768937,0.048950466672409,0.000129089179847443,0.00121912565102891,2.38603594623265e-34,1.66387379246814e-16,0.000242324597623813,0.531594337039202,3.52609457006304e-16,1.03883942384025e-141,0,1,1.47529054282281e-15,1,1,1,1,1,1
"sROI_headthickness08",8.02091713467679e-22,0.0981589186428482,2.88386968500277e-21,1.33158379933121e-70,1.78686611065222e-22,0.0318526497836426,1.53787542388032e-48,1.95480673093371e-13,6.0046564199912e-36,6.72245656707148e-25,2.60175269958712e-12,8.33670046411049e-11,0.000180250246553402,8.32404298134064e-13,1.8727082022431e-19,8.64186816878384e-10,0.130456010833969,3.50510635256049e-18,3.50510635256049e-18,0.29622347877579,0.504273712932086,1.16516145021414e-06,0.307843056318858,0.00876048409750065,0.241260972724794,0.000128249871379772,0.536676439621663,5.88446042298653e-05,1.35273882104842e-100,4.29942869930826e-153,1.01514319150481e-183,6.73450744425802e-97,0,0.748029386043676,3.43496705474697e-08,0.418116789229036,0,1,3.92469910113977e-73,0.221347752274739,0.581465923819194,1,1,1
"sROI_headthickness09",0.00199456932140738,0.0943044294584502,3.2641192608767e-05,0.0528276569344095,0.923085226221196,0.0588944657755223,0.309893377547497,3.90183737802154e-09,0.000822021743838907,0.00514335283062818,0.319682088602689,0.0432347003632307,0.00350276423712642,0.00133485416712693,0.195227038708929,0.219553553451994,0.241103879736149,0.0338966441544334,0.0338966441544334,0.5060717160397,0.0335258376040729,5.3181763694678e-06,0.000689726684375915,5.2236918575096e-08,8.94612939045361e-05,0.000122405937059312,0.00362523541022625,6.65347303360898e-159,0.0826602766693873,1.08196573777819e-30,0.874573541856983,0.000132893977178298,0.00163310728985958,8.43141360436908e-56,3.81141682608507e-18,1.93862094983287e-18,0.00637676776766804,0,1,1,1,1,1,1
"waist",7.86340865581193e-65,0.0194712786529871,2.87806975975559e-37,5.46841182372168e-288,3.77270654647443e-55,3.87141833808434e-05,2.20845391770154e-163,3.08501436269393e-05,8.98268124889216e-61,7.09990134536023e-27,8.69076625773996e-12,3.20100144608815e-19,0.000115687541829001,1.7187302370067e-18,2.75036555579961e-49,0.638157039540223,8.82319769556472e-12,3.06894871941168e-06,3.06894871941168e-06,0.000165030466557616,0.185868215723899,5.33755297881786e-20,0.00234898449093113,0.759481931547519,0.23863620391259,4.20253440756579e-09,0.00178540254033172,0.00555230770420991,6.29994806128611e-70,1.140142588924e-82,5.01469126094421e-61,2.05948996713587e-133,2.30824290101916e-70,0.414266440528473,1.7180214037391e-08,0.272627139203164,4.45482304329146e-76,0.00636505909705868,0,1,1,1,9.68389330367839e-07,1
"walk",0.34447296740841,0.967932994715984,0.388174774431362,0.00844331247639392,4.01205761532906e-05,0.000747654763526382,0.0280026037437107,0.403930763159451,0.625051785952902,0.50381402371972,0.278793882457977,0.951970445100405,0.271190157498168,0.436665419533566,0.242359776638074,0.934374335865815,0.164406842475677,0.942743224360239,0.942743224360239,0.0670040507585091,0.149344876542612,0.179115994060517,0.133295582580022,0.715747495904272,0.140585793554046,0.932826555645904,0.0644117746856658,0.309056512503822,0.000906570625394243,0.00252215169581529,0.00209233234752771,0.00575299941807743,0.000170476765706902,0.685816118568972,0.463581698601238,0.600904115615821,0.000427312263078647,0.878569077679021,0.00377994072338607,0,1.01527308990605e-22,0.0415893150301063,1,1
"moderate_PA",0.473041697166193,7.90838022510346e-07,0.215396244750375,0.0457053497635783,0.204582481566648,0.582019483331203,0.0709612607896067,0.139312227932436,0.283933296150352,0.377652006751891,0.526506631251781,0.148168807598455,0.940951921226648,0.252887290514253,0.0516647022987296,0.663498467461936,0.491975637031021,0.936062706644347,0.936062706644347,0.186912298740677,0.147691800462822,0.531486709942155,0.145101024828197,0.97812163226265,0.684246359238499,0.908422128880524,0.110552833010737,0.991898918897832,0.0280303344437916,0.00128964275693539,0.011909651308482,0.000564869306983823,0.00127845978293298,0.527763820439159,0.412158279104839,0.526724978980835,0.00119889881199834,0.908460835941486,0.0518654842513585,1.2819104670531e-25,0,2.43771095321065e-09,1,1
"vigorous_PA",0.477573487785306,0.323292938292305,0.474473324183676,0.152103525884672,0.0358582387818822,0.036075043820335,0.820210970300718,0.590760740964645,0.0982966154508299,0.111372951192344,0.16338497697176,0.812695868127092,0.0590528501949458,0.27001306789871,0.182030261517847,0.825643608366369,0.34875126716341,0.744473438234968,0.744473438234968,0.5168457278769,0.899371961502606,0.218153605143024,0.650627956488622,0.452100978414808,0.850398712632523,0.73324377670108,0.54296143716442,0.406355153555803,0.25928990813545,0.565303457600759,0.185704154154277,0.527139355106799,0.300288520770114,0.0775544708890367,0.358576830275437,0.486850980229799,0.131319368807145,0.173133256575052,0.282377002695976,7.60316545340151e-05,3.46758314823706e-12,0,1,1
"smoking",0.188204809595721,0.0980873666452547,0.601185193416234,9.80660424318612e-10,4.18824743169305e-05,0.000742448632360113,4.91795096072641e-08,0.490211034328293,0.0505335491422927,0.12797084546272,0.00766972849788449,0.000468572192885502,0.00297767507211556,1.45588234933306e-05,0.203115555045868,0.0831908305091076,0.00115684316867028,0.343655754710905,0.343655754710905,0.121342790563017,0.579270219499836,0.012053075196914,0.250550017453422,0.562822917350008,0.330097345336248,0.0225106458119285,0.208381406630479,0.887168448399476,1.42627014758065e-07,0.00583393928858441,0.00164296967103404,0.00099462407727627,0.00145685364511327,0.717520017770845,0.269463990687031,0.603641655381313,0.00231247828200357,0.833082264407149,1.4518580665185e-09,0.283746045409143,0.377489274406904,0.427096149467934,0,0.543360381204794
"r_alcohol",0.000844560622079012,0.0027587263256238,0.00071104243810555,0.287092070592635,0.000182818935686703,0.000657358055413518,0.000471464160065069,0.12668607516915,0.183585559807708,0.873691611107153,0.681508676900891,1.69136012697718e-08,0.011378261428271,9.98011707663658e-08,6.78295014160042e-05,0.00190658424976063,0.00553596233520452,0.13028545079724,0.13028545079724,0.118404975880429,0.0444067533224431,0.731972414079505,0.164036450304495,0.967744555634347,0.755524843168833,0.0514573665602899,0.133027673364664,0.0771662430885344,0.997451000440443,0.697733979991982,0.0553154646581393,0.489650533414249,0.483153302719998,0.885186268189292,0.90830771853179,0.0629894862797468,0.643202750465736,0.253053838878418,0.356956701332713,0.547954881331831,0.439769407557015,0.850949334139097,0.00111116642373168,0
