"","age","sit_height","VAT","ASAT","fat_percent","BMI","BMD_head","BMD_total","T_BMD_total","femur_BMD","tismri_volr01","tismri_volr02","tismri_volr03","tismri_TIV","tis_bone","vROI_bonecortex03","sROI_bonecortex03","main_sBMDH","sROI_bonethickness01","sROI_bonethickness02","sROI_bonethickness03","sROI_bonethickness04","sROI_bonethickness05","sROI_bonethickness06","sROI_bonethickness07","sROI_bonethickness08","sROI_bonethickness09","tis_head","sROI_headthickness01","sROI_headthickness02","sROI_headthickness03","sROI_headthickness04","sROI_headthickness05","sROI_headthickness06","sROI_headthickness07","sROI_headthickness08","sROI_headthickness09","waist","walk","moderate_PA","vigorous_PA","smoking","r_alcohol"
"tismri_volr03",1.2604748481807e-35,0.000294935503945691,0.00230820467812406,0.198026321940742,0.256478674942418,0.0325795187651401,0.456676542146556,0.468429968045153,0.392279139107303,0.0407019128663546,5.66252038511663e-145,8.26494105969061e-81,0,1,0.965695546778486,1,1,1,1,0.000869871679022996,1,1,1,1,2.15144194251832e-07,1,1,6.74895818343838e-07,1,1,1,0.132938655265432,1,1,0.761738681482841,0.012243036617751,1,0.652865475320255,1,1,1,0.0191072086433851,0.00109742336112544
"tismri_TIV",0.58510366382402,0.000275446429303924,0.775143287189132,0.202647035888353,0.0875149910452589,0.103599618732994,0.0001654650161236,2.51836451201468e-05,2.57875714451887e-05,0.000144373371223361,0.000428829988396623,0.145278399830019,0.114073514331136,0,1,1,1,1,0.00682031699421065,0.317612008420772,0.000742127720815132,0.0651909989256033,1,1,1,0.0125456747567653,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"tis_bone",8.17281470637065e-16,0.266276201779439,0.332484723206921,0.0136286391402597,0.0278918312722521,0.00539345045413831,1.18355372746019e-54,4.19256607640271e-71,5.72456199980436e-73,4.83886227831504e-31,0.00228322845535927,0.0139995048891603,0.00162029454157464,0.262886034021443,0,1.05498246610851e-174,2.1733238368491e-150,2.1733238368491e-150,1.11200536098536e-11,0.253344784057263,7.47008584647014e-07,4.19503303465156e-18,0.000254759347312827,1.58243276723864e-06,0.00916070814833545,8.56303906946771e-14,0.0174003253151027,1,0.000381770295844858,0.00214648581897761,3.51849453313972e-05,0.000614345901485101,1,1,1,0.00028334564238377,1,1,1,1,1,1,1
"vROI_bonecortex03",1.52261695931394e-13,0.0894932179562078,0.14229819714198,0.781882059830344,0.834495970085439,0.582521594753929,2.83634816902127e-53,1.02871568165296e-53,5.2348325784202e-55,3.04190194309929e-22,0.037294208429177,0.0407410531290552,0.0251946952732233,0.499217165434887,1.17612315062264e-177,0,2.04104895449393e-143,2.04104895449393e-143,2.65366313878789e-13,0.00197905917304607,1.03808904414233e-08,1.08182373008819e-17,1.83887403471553e-05,5.05842068567778e-10,0.000167719221202809,4.51353703733298e-12,0.00318829177933116,1,0.285123023868827,1,0.188114744347326,1,0.944481404796283,1,1,1,1,1,1,1,1,1,1
"sROI_bonecortex03",6.0330651332718e-16,0.018423223223955,0.110894272269359,0.00263697332187743,0.0304731852421107,0.0046104930971286,4.325099972942e-83,2.68135776675961e-82,1.56340959670517e-82,6.47810282788262e-30,0.122979732541818,0.893813661902195,0.548253848557543,0.0150016040656427,2.43101100318692e-153,2.28817147364791e-146,0,0,2.15329675713848e-05,1,0.0285883307313805,2.78193295969121e-08,0.00170754053617398,1.37882195504194e-05,1,2.26900832798236e-05,0.0113089391812824,1,0.00152837578593238,0.519427309821916,2.16900632467614e-05,0.000601032356108285,1,1,1,0.000125953414497062,1,1,1,1,1,1,1
"main_sBMDH",6.0330651332718e-16,0.018423223223955,0.110894272269359,0.00263697332187743,0.0304731852421107,0.0046104930971286,4.325099972942e-83,2.68135776675961e-82,1.56340959670517e-82,6.47810282788262e-30,0.122979732541818,0.893813661902195,0.548253848557543,0.0150016040656427,2.43101100318692e-153,2.28817147364791e-146,0,0,2.15329675713848e-05,1,0.0285883307313805,2.78193295969121e-08,0.00170754053617398,1.37882195504194e-05,1,2.26900832798236e-05,0.0113089391812824,1,0.00152837578593238,0.519427309821916,2.16900632467614e-05,0.000601032356108285,1,1,1,0.000125953414497062,1,1,1,1,1,1,1
"sROI_bonethickness01",0.00480693543236505,0.435333516877331,0.137893291498808,0.274393736689877,0.0827080164077022,0.0327740708332555,2.34776042341547e-08,0.0297280722969188,0.0330978675421407,0.435829246080012,0.0640541698011639,0.831058916382027,0.159181647906659,1.03211967671211e-05,1.44042145205358e-14,3.41087807042146e-16,3.00320328750136e-08,3.00320328750136e-08,0,6.91750247881787e-138,3.35236189977415e-158,2.06084781291243e-215,1.6275374873053e-55,2.74325411966784e-49,1.85703104838658e-20,2.00436454017685e-216,1.31513822944668e-26,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"sROI_bonethickness02",0.744199577302139,0.123601971599116,0.114675248830651,0.0882771569335662,0.014368068513924,0.0119980712323764,1.26091721748687e-13,5.20198792693099e-06,7.29151019158007e-06,0.00367309210588877,4.92599591558524e-08,0.0735328834639624,1.27734460943171e-06,0.000514768247035286,0.000407962615229087,2.94065256024677e-06,0.0516369164231311,0.0516369164231311,7.78121763646554e-141,0,2.34768886932887e-59,2.69102667680747e-93,1.11216546698858e-24,7.88836981407485e-23,3.0244644703849e-09,4.96852806314671e-97,3.18419200061407e-10,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"sROI_bonethickness03",8.77570120408293e-05,0.243401768458351,0.0477972871635434,0.250175083302347,0.062352052920247,0.0153566912652739,6.68480368746868e-13,0.00139008513252409,0.00221877893238673,0.299239696118664,0.0745592440749074,0.0579964038385676,0.0484292501221061,1.08657060148628e-06,1.01495731609649e-09,1.37495237634746e-11,4.43918179058704e-05,4.43918179058704e-05,3.7456557539376e-161,2.75874132706095e-62,0,1.20985247373505e-114,1.53912053401073e-37,1.97493426866381e-38,1.51231649175536e-19,1.18268537377684e-114,8.23565584839301e-10,1,1,1,1,1,0.0489554680083696,1,1,1,0.000215487475950247,1,1,1,1,1,1
"sROI_bonethickness04",0.00934305046289717,0.398990325123832,0.294099051164195,0.357594768461954,0.189096537609985,0.0560126744718485,3.50878724569954e-05,0.531087999872,0.589591368527371,0.937872374254099,0.0425827642654413,0.560675213919446,0.182740966221112,0.000102180249099692,5.32364598306036e-21,1.37461719197991e-20,3.70430487309083e-11,3.70430487309083e-11,2.29493074934569e-218,3.07545905920854e-96,1.37016135190832e-117,0,2.29490852618858e-29,5.89590003052396e-29,7.46203315518003e-10,1.09721921436922e-249,7.24272787447188e-12,1,1,1,1,1,1,1,1,1,0.237452888993731,1,1,1,1,1,1
